2024-10-21T13:38:50.889-06:00  INFO 4184 --- [pois-api] [restartedMain] c.geomatic.pois_api.PoisApiApplication   : Starting PoisApiApplication using Java 17.0.6 with PID 4184 (D:\Program Files (x86)\Eclipse\pois-api\target\classes started by USER in D:\Program Files (x86)\Eclipse\pois-api)
2024-10-21T13:38:50.894-06:00 DEBUG 4184 --- [pois-api] [restartedMain] c.geomatic.pois_api.PoisApiApplication   : Running with Spring Boot v3.3.4, Spring v6.1.13
2024-10-21T13:38:50.897-06:00  INFO 4184 --- [pois-api] [restartedMain] c.geomatic.pois_api.PoisApiApplication   : No active profile set, falling back to 1 default profile: "default"
2024-10-21T13:38:50.898-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.boot.SpringApplication               : Loading source class com.geomatic.pois_api.PoisApiApplication
2024-10-21T13:38:50.974-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.devtools.restart.ChangeableUrls    : Matching URLs for reloading : [file:/D:/Program%20Files%20(x86)/Eclipse/pois-api/target/classes/]
2024-10-21T13:38:50.976-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Included patterns for restart : []
2024-10-21T13:38:50.976-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.d.settings.DevToolsSettings        : Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
2024-10-21T13:38:50.977-06:00  INFO 4184 --- [pois-api] [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-10-21T13:38:50.977-06:00 DEBUG 4184 --- [pois-api] [restartedMain] s.c.a.AnnotationConfigApplicationContext : Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@7cded739
2024-10-21T13:38:50.995-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
2024-10-21T13:38:51.009-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
2024-10-21T13:38:51.111-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\Program Files (x86)\Eclipse\pois-api\target\classes\com\geomatic\pois_api\api\PoiController.class]
2024-10-21T13:38:51.123-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\Program Files (x86)\Eclipse\pois-api\target\classes\com\geomatic\pois_api\repository\PoiRepository.class]
2024-10-21T13:38:51.127-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\Program Files (x86)\Eclipse\pois-api\target\classes\com\geomatic\pois_api\service\PoiService.class]
2024-10-21T13:38:51.493-06:00  INFO 4184 --- [pois-api] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
2024-10-21T13:38:51.497-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2024-10-21T13:38:51.503-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.geomatic.pois_api'. Automatic @Repository and @Entity scanning is enabled.
2024-10-21T13:38:51.504-06:00 DEBUG 4184 --- [pois-api] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for MongoDB repositories in packages com.geomatic.pois_api.
2024-10-21T13:38:51.514-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [D:\Program Files (x86)\Eclipse\pois-api\target\classes\com\geomatic\pois_api\repository\PoiRepository.class]
2024-10-21T13:38:51.546-06:00  INFO 4184 --- [pois-api] [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 40 ms. Found 1 MongoDB repository interface.
2024-10-21T13:38:51.703-06:00 DEBUG 4184 --- [pois-api] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
